word,frequentcy
within(2),5
historical(3),3
spartathlon's(9),2
heritage(6),3
journey(3),1
sparta(9),3
spartans(9),1
invade(4),2
left(1),7
spark(4),1
air-force(9),1
officer(1),1
long-distance(9),1
really(9),2
athens(9),1
foden(9),1
36-hour(9),1
slog(9),1
achievement(3),1
spartathlon(9),2
difficulty(2),3
greek(9),3
plunge(5),1
darkness(9),1
route(4),2
"1,200-meter(9)",1
mountain(1),4
pass(1),8
dead(1),1
above(1),4
relentless(9),1
retracing(9),1
pheidippides's(9),1
footsteps(9),1
grip(5),1
race(1),3
finishers(9),1
laurel(9),1
wreath(5),1
overjoyed(9),1
euphoria(9),1
joint(2),1
muscle(3),2
seize(3),1
sparti(9),1
resemble(4),4
zombie(9),1
participant(5),2
lumber(5),1
slowly(9),2
leg(1),2
itch(4),1
again(1),1
